ejecución,Dificil,Facil,Medio
1,38546.83,1718.54,1760.05
2,38546.83,1786.87,1589.26
3,38546.83,1734.33,1693.39
4,38546.83,1798.49,1577.14
5,38546.83,1737.39,1702.68
6,38546.83,1741.83,1524.45
7,38546.83,1774.45,1662.25
8,38537.64,1708.50,1694.85
9,38546.83,1753.67,1725.20
10,38546.83,1639.46,1636.26

media,38545.91,1739.35,1656.55
desviación estándar,2.91,45.45,73.87
