ejecución,Dificil,Facil,Medio
1,38546.83,3048.28,2916.30
2,38546.83,3048.28,2916.30
3,38546.83,3048.28,2916.30
4,38546.83,3048.28,2916.30
5,38546.83,3048.28,2916.30
6,38546.83,3046.82,2916.30
7,38546.83,3048.28,2916.30
8,38537.64,3048.23,2916.30
9,38546.83,3048.28,2916.30
10,38546.83,3028.66,2916.30

media,38545.91,3046.17,2916.30
desviación estándar,2.91,6.17,0.00
